Group,GeneID,log2FC,padj,avg_group1,avg_group2,direction,specificity,CV,biomarker_score
Kidney,mmu-miR-490-3p,-7.557,0.00194814540646952,4,763,DOWN in Kidney,0.006593696426216537,0.14285714285714285,0.1350542747987195
Liver,mmu-miR-122-5p,11.664,8.46539123215526e-13,7820506,2410,UP in Liver,5.3277758844525565,0.14936127610110403,750.2143782315658
Liver,mmu-miR-12195-3p,6.759,4.36026666445337e-19,108,1,UP in Liver,4.941599281221922,0.12353828551902732,613.245213028626
Liver,mmu-miR-122-3p,11.536,2.47826260002068e-10,607224,204,UP in Liver,5.327275610665592,0.3603823487230937,590.3320127817057
Liver,mmu-miR-122b-3p,10.453,7.88239770095048e-11,815,1,UP in Liver,5.2803798280508145,0.6117378093631956,557.662129920259
Liver,mmu-miR-12195-5p,7.237,9.33330018029322e-14,63,0,UP in Liver,4.837490551776266,0.21241322277592456,456.1649826725934
Liver,mmu-miR-1948-3p,6.796,1.22488591988419e-14,104,1,UP in Liver,4.736371760500447,0.1546325893477264,447.80169854706145
Liver,mmu-miR-292b-3p,8.001,6.59400973699273e-10,48,0,UP in Liver,4.8123195380173245,0.5403414015535664,353.49366784203426
Liver,mmu-miR-292b-5p,7.377,8.95141711565534e-10,39,0,UP in Liver,4.656577415599535,0.11336754254816843,310.816736811401
Liver,mmu-miR-1948-5p,6.286,2.71664792989011e-10,749,10,UP in Liver,4.985051345378915,0.4210147431016601,299.7594440248714
Liver,mmu-miR-101b-3p,4.037,6.35073723660464e-16,252996,15407,UP in Liver,4.210693533860878,0.16890586705883337,258.33025449219303
Liver,mmu-miR-290b-3p,7.027,1.34731859266625e-08,25,0,UP in Liver,4.288164665523156,0.19595917942265423,237.16214485828385
Liver,mmu-miR-12184-5p,6.517,2.18670478020647e-08,21,0,UP in Liver,4.2471042471042475,0.1568929081105472,212.02218656620903
Liver,mmu-miR-137-3p,5.444,2.18670478020647e-08,3675,84,UP in Liver,4.908330483730962,0.12600767090890064,204.68809311115817
Liver,mmu-miR-290b-5p,6.812,1.25617607290862e-05,17,0,UP in Liver,4.147465437788019,0.21346619809405207,138.46424465905486
Liver,mmu-miR-12184-3p,5.708,1.41798578996109e-06,18,0,UP in Liver,3.8054968287526423,0.1360602686099615,127.03607283231888
Liver,mmu-miR-12196-3p,5.575,6.93705869010673e-06,13,0,UP in Liver,3.3766233766233764,0.2893959225697556,97.11319873911692
Liver,mmu-miR-12178-3p,6.447,0.000281007456652808,13,0,UP in Liver,3.9215686274509807,0.32904237959102545,89.7847688554384
Liver,mmu-miR-6978-3p,4.407,0.000156112938052126,113,5,UP in Liver,4.369300911854103,0.15927473874189216,73.29727202439489
Liver,mmu-miR-148a-3p,3.595,1.12643939839984e-05,406935,33683,UP in Liver,4.050086987745607,0.13604423755162506,72.0474443280966
Liver,mmu-miR-101b-5p,3.454,5.98883244299089e-07,44,4,UP in Liver,3.3057851239669422,0.317040129959519,71.0514385813926
Lung,mmu-miR-1264-3p,11.82,8.6213234532636e-32,743,0,UP in Lung,5.301074623281504,0.09867733141921615,1946.4566168117415
Lung,mmu-miR-1298-5p,11.345,7.15424902364194e-29,535,0,UP in Lung,5.289063151747727,0.09739242080222335,1688.850600648316
Lung,mmu-miR-449c-5p,6.797,1.14262088862642e-41,629,5,UP in Lung,4.566572930676122,0.15077276664231887,1270.8016196997016
Lung,mmu-miR-1264-5p,9.389,2.42092519102746e-22,168,0,UP in Lung,5.181347150259067,0.09901958348138176,1051.568906329321
Lung,mmu-miR-449a-5p,7.412,2.22567085350192e-22,10844,64,UP in Lung,5.141532766351262,0.2346770898274498,825.1574959086564
Lung,mmu-miR-1912-5p,9.4,1.96468550200897e-16,139,0,UP in Lung,5.182160804020101,0.28794790552394806,765.1100029642023
Lung,mmu-miR-764-5p,8.0,7.85965914611482e-15,64,0,UP in Lung,4.92546986390149,0.1302565123238377,555.7741116654162
Lung,mmu-miR-34c-5p,6.743,1.24369303353544e-12,76202,711,UP in Lung,5.19773887991619,0.16571113054148442,417.26069745633606
Lung,mmu-miR-34b-5p,6.679,1.09423202693194e-11,43099,420,UP in Lung,5.191189566559986,0.1177932752471162,380.035506143689
Lung,mmu-miR-448-3p,7.671,1.1648452808774e-10,42,0,UP in Lung,4.84027105517909,0.12328828005937952,368.83667132579046
Lung,mmu-miR-34b-3p,6.345,5.41945883663583e-12,6821,84,UP in Lung,5.153956376373189,0.24781602853971466,368.42051967580244
Lung,mmu-miR-1298-3p,7.51,6.04066539645989e-10,37,0,UP in Lung,4.715969989281886,0.11840613344378662,326.50571760854433
Lung,mmu-miR-449c-3p,6.244,1.70503898678245e-11,59,1,UP in Lung,4.657351962741185,0.10404975545071161,313.1466111842597
Lung,mmu-miR-1912-3p,6.984,6.03995378530686e-10,32,0,UP in Lung,4.668304668304668,0.2182093452378399,300.5700155627238
Lung,mmu-miR-6540-5p,4.966,4.94605912351528e-13,98,3,UP in Lung,4.681194511702986,0.09133167593415031,286.0692398177127
Lung,mmu-miR-34c-3p,5.832,7.60928185787061e-09,5157,90,UP in Lung,5.081645548571618,0.34057018261596506,240.60577228323467
Lung,mmu-miR-764-3p,7.026,6.03579441192973e-08,27,0,UP in Lung,4.584527220630372,0.1637510440642531,232.53895625942147
Lung,mmu-miR-448-5p,6.897,1.24886206053761e-07,25,0,UP in Lung,4.4753086419753085,0.048765984909417075,213.08439056427596
Lung,mmu-miR-92b-5p,5.463,3.33991631311734e-08,131,3,UP in Lung,4.819651741293533,0.12320159645077423,196.8482287735179
Lung,mmu-miR-449a-3p,6.124,3.41474249120621e-08,21,0,UP in Lung,3.7313432835820897,0.2193859473754351,170.6183427642661
Spleen,mmu-miR-142a-5p,5.225,2.99571124672472e-38,769490,20572,UP in Spleen,4.864420840416107,0.025787032969608586,953.7197497667854
Spleen,mmu-miR-142a-3p,5.082,2.06515958254958e-26,8106700,239334,UP in Spleen,4.816026038801999,0.33898515584173244,628.6426488252749
Spleen,mmu-miR-3964,5.228,8.12802051748883e-20,535,14,UP in Spleen,4.804582832855955,0.5587389447376021,479.5098562871873
Spleen,mmu-miR-130b-3p,3.964,6.22322450323254e-29,7632,488,UP in Spleen,4.2236292604068435,0.1401794643348785,472.23774796673376
Spleen,mmu-miR-211-5p,5.014,8.12802051748883e-20,1045,33,UP in Spleen,4.776026912181304,0.1859237946747699,457.1485739247291
Spleen,mmu-miR-342-5p,3.507,1.17571026776954e-24,2653,233,UP in Spleen,4.058953225114311,0.2491167337453359,340.63326777226786
Spleen,mmu-miR-150-3p,5.604,6.51779529910085e-13,2329,48,UP in Spleen,4.955645161290323,0.5509241905541434,338.4199157594048
Spleen,mmu-miR-130b-5p,3.675,3.04238251681374e-20,424,33,UP in Spleen,3.9433205928964297,0.13265480204956057,282.83147237406723
Spleen,mmu-miR-5107-5p,6.285,3.21856153491811e-09,482,6,UP in Spleen,5.052944454765001,1.163266747137094,269.6976030296154
