Group,Direction,miRNA,GeneID,log2FC,padj,biomarker_score,count_Cells (4T1),zscore_Cells (4T1),count_Heart,zscore_Heart,count_Kidney,zscore_Kidney,count_Liver,zscore_Liver,count_Lung,zscore_Lung,count_Spleen,zscore_Spleen
Kidney,Downregulated,miR-150-3p,mmu-miR-150-3p,-5.597,0.0329284257806923,0.21746576359295872,1,-1.3211211769976152,69,0.16560085662369983,13,-0.5074097079618891,20,-0.3378584011240081,107,0.34693223752703717,2458,1.6538561919327734
Kidney,Downregulated,miR-490-3p,mmu-miR-490-3p,-7.557,0.00194814540646952,0.1350542747987195,0,-1.2222151372063008,3678,1.4242257556414877,4,-0.7034481771686544,11,-0.42126005920751763,716,0.8971161395660807,47,0.025581478374904494
Kidney,Downregulated,miR-208b-3p,mmu-miR-208b-3p,-7.019,0.0358516935717048,0.07944066229041705,0,-1.1010861855959935,2419,1.4805138362596604,3,-0.6417590892074635,29,0.02584771919252932,392,0.8782428085587308,3,-0.6417590892074635
Kidney,Downregulated,miR-122-3p,mmu-miR-122-3p,-13.288,0.000423541896135938,0.006147578255400611,0,-1.1095347733921561,62,-0.20070826740309225,16,-0.48804897719097556,621456,1.8166514646828351,36,-0.31745386686079347,614,0.2990944201641823
Kidney,Downregulated,miR-122-5p,mmu-miR-122-5p,-13.778,5.18006043238954e-05,0.005614003844645053,24,-0.9751827998985649,502,-0.30435846680682077,142,-0.5854399475621422,7957305,1.8564759880287611,548,-0.28480208300176657,7294,0.2933073092405357
Kidney,Downregulated,miR-295-3p,mmu-miR-295-3p,-7.116,0.0056242983513088,0.0,1,-0.7591008604426934,2,-0.49685778423083743,0,-1.2074083603056014,60,1.4513856678408155,19,0.730144418500613,9,0.28183691863770477
Kidney,Downregulated,miR-1912-5p,mmu-miR-1912-5p,-21.366,4.36831954933676e-05,0.0,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,165,2.041241452319315,0,-0.408248290463863
Kidney,Downregulated,miR-1298-5p,mmu-miR-1298-5p,-23.887,3.86667015954947e-06,0.0,0,-0.40824829046386296,0,-0.40824829046386296,0,-0.40824829046386296,0,-0.40824829046386296,634,2.041241452319315,0,-0.40824829046386296
Liver,Upregulated,miR-122-5p,mmu-miR-122-5p,11.664,8.46539123215526e-13,750.2143782315658,24,-0.9751827998985649,502,-0.30435846680682077,142,-0.5854399475621422,7957305,1.8564759880287611,548,-0.28480208300176657,7294,0.2933073092405357
Liver,Upregulated,miR-12195-3p,mmu-miR-12195-3p,6.759,4.36026666445337e-19,613.245213028626,0,-0.7730522279194798,2,-0.12701054471284204,1,-0.36544530793702623,110,1.996398696443401,1,-0.36544530793702623,1,-0.36544530793702623
Liver,Upregulated,miR-122-3p,mmu-miR-122-3p,11.536,2.47826260002068e-10,590.3320127817057,0,-1.1095347733921561,62,-0.20070826740309225,16,-0.48804897719097556,621456,1.8166514646828351,36,-0.31745386686079347,614,0.2990944201641823
Liver,Upregulated,miR-122b-3p,mmu-miR-122b-3p,10.453,7.88239770095048e-11,557.662129920259,0,-0.5161211836131325,4,0.08265638220191006,0,-0.5161211836131325,823,1.9818283522506202,0,-0.5161211836131325,0,-0.5161211836131325
Liver,Upregulated,miR-12195-5p,mmu-miR-12195-5p,7.237,9.33330018029322e-14,456.1649826725934,0,-0.48556174355136217,0,-0.48556174355136217,0,-0.48556174355136217,64,2.012938614270768,1,-0.07069164006531904,0,-0.48556174355136217
Liver,Upregulated,miR-1948-3p,mmu-miR-1948-3p,6.796,1.22488591988419e-14,447.80169854706145,4,0.020981884404130652,1,-0.5666339296680347,2,-0.3066097896317037,106,1.9855296942316771,1,-0.5666339296680347,1,-0.5666339296680347
Liver,Upregulated,miR-292b-3p,mmu-miR-292b-3p,8.001,6.59400973699273e-10,353.49366784203426,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,50,2.041241452319315,0,-0.408248290463863,0,-0.408248290463863
Liver,Upregulated,miR-292b-5p,mmu-miR-292b-5p,7.377,8.95141711565534e-10,310.816736811401,1,-0.108654959738536,0,-0.5888794787355974,0,-0.5888794787355974,40,1.983948355683864,0,-0.5888794787355974,1,-0.108654959738536
Liver,Upregulated,miR-1948-5p,mmu-miR-1948-5p,6.286,2.71664792989011e-10,299.7594440248714,16,-0.1557181193471147,8,-0.5090689272928492,22,0.012226970082220248,767,1.9614108556953156,5,-0.7343424400354128,7,-0.574508339102158
Liver,Upregulated,miR-101b-3p,mmu-miR-101b-3p,4.037,6.35073723660464e-16,258.33025449219303,13861,-0.5051420666287845,15084,-0.43194210925537285,14089,-0.49101796239779194,258170,2.0267583890966847,20263,-0.17641627430428297,15254,-0.42223997651045336
Liver,Downregulated,miR-181b-5p,mmu-miR-181b-5p,-2.105,1.12328873325043e-12,6.779839612399554,10296,0.09375383814470226,11520,0.2734134337599384,13451,0.521273777337198,2921,-1.921013664432064,17866,0.9752701631816945,10064,0.057302452008534836
Liver,Downregulated,miR-181a-1-3p,mmu-miR-181a-1-3p,-2.521,2.62699141353728e-06,3.471815478722774,54,-1.6444646766938484,650,0.3390581627349623,664,0.35613675122048977,167,-0.7481860328945511,1505,1.012254157078824,1001,0.685201638554124
Liver,Downregulated,miR-181a-5p,mmu-miR-181a-5p,-2.424,2.62699141353728e-06,3.441524494544761,9052,-1.3153304997752018,32830,0.031185243548815935,48852,0.4465949084396571,11264,-1.0868437386137466,91063,1.0974939992842876,70292,0.8269000871161927
Liver,Downregulated,miR-145a-5p,mmu-miR-145a-5p,-1.821,5.68726045437043e-05,2.9885389031667215,120,-2.0142505023772768,1202328,0.5591761204791202,555376,0.3432223840055399,243686,0.11289894235313945,1034056,0.5170207619518189,912099,0.48193229358766215
Liver,Downregulated,miR-181c-5p,mmu-miR-181c-5p,-1.951,3.49780641119553e-07,2.9399079302999342,9252,1.1536045722245145,4258,0.06912998714301496,3052,-0.3961694509092886,1165,-1.7414951337744382,6338,0.6249665431196634,4987,0.2899634821965408
Liver,Downregulated,miR-143-3p,mmu-miR-143-3p,-1.581,0.000124671752482548,2.790097536956309,38,-2.0211591621056946,783855,0.5384235158452985,423740,0.3795276555952931,191498,0.17435642434876164,860040,0.56238429178169,402849,0.36646727453465217
Liver,Downregulated,miR-143-5p,mmu-miR-143-5p,-1.743,0.000200498433608877,2.6178493061396693,0,-1.9994404405843915,1556,0.5716525078707074,668,0.27617873093207473,361,0.06136243824963052,1542,0.5684931470371577,1349,0.5217536164948199
Liver,Downregulated,miR-181d-5p,mmu-miR-181d-5p,-1.868,5.44539575220016e-08,2.3841146028127405,14001,1.55261060766126,5141,0.4642959747661793,2303,-0.40786465184620196,862,-1.4747002639568778,3484,0.04171273835463062,2851,-0.17605440497899014
Liver,Downregulated,miR-322-5p,mmu-miR-322-5p,-1.687,0.000269563284633354,2.3790607870083886,19870,-1.125418603934075,83277,1.0787793331951487,63586,0.6637966126377662,17856,-1.2898052170552716,64350,0.6821686233271129,41045,-0.009520748170673707
Liver,Downregulated,miR-181c-3p,mmu-miR-181c-3p,-2.179,2.92261319040044e-07,2.2578147025617588,2651,1.4092270618014153,954,0.3094343898789339,428,-0.5522751567924719,163,-1.5877104931757071,836,0.16741890508425483,906,0.253905293203576
Lung,Upregulated,miR-1264-3p,mmu-miR-1264-3p,11.82,8.6213234532636e-32,1946.4566168117415,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,883,2.041241452319315,0,-0.408248290463863
Lung,Upregulated,miR-1298-5p,mmu-miR-1298-5p,11.345,7.15424902364194e-29,1688.850600648316,0,-0.40824829046386296,0,-0.40824829046386296,0,-0.40824829046386296,0,-0.40824829046386296,634,2.041241452319315,0,-0.40824829046386296
Lung,Upregulated,miR-449c-5p,mmu-miR-449c-5p,6.797,1.14262088862642e-41,1270.8016196997016,102,0.7408947568934965,6,-0.5349426227591019,6,-0.5349426227591019,2,-0.9369832014072412,747,1.6816682857483438,8,-0.41569459571639406
Lung,Upregulated,miR-1264-5p,mmu-miR-1264-5p,9.389,2.42092519102746e-22,1051.568906329321,0,-0.46995142263261724,0,-0.46995142263261724,0,-0.46995142263261724,1,-0.14401318570463448,200,2.023818876235104,0,-0.46995142263261724
Lung,Upregulated,miR-449a-5p,mmu-miR-449a-5p,7.412,2.22567085350192e-22,825.1574959086564,259,0.13603308399536532,88,-0.3601321297521356,56,-0.5663583361541409,34,-0.7920776918200487,12889,1.9426672034830947,88,-0.3601321297521356
Lung,Upregulated,miR-1912-5p,mmu-miR-1912-5p,9.4,1.96468550200897e-16,765.1100029642023,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,165,2.041241452319315,0,-0.408248290463863
Lung,Upregulated,miR-764-5p,mmu-miR-764-5p,8.0,7.85965914611482e-15,555.7741116654162,0,-0.48274397778054595,0,-0.48274397778054595,0,-0.48274397778054595,1,-0.08415460812413443,76,2.0151305192463185,0,-0.48274397778054595
Lung,Upregulated,miR-34c-5p,mmu-miR-34c-5p,6.743,1.24369303353544e-12,417.26069745633606,1,-1.5903930668687083,744,0.10988240222108576,2037,0.398900425792996,226,-0.23143256633609657,90497,1.4883424362161042,275,-0.1752996310253807
Lung,Upregulated,miR-34b-5p,mmu-miR-34b-5p,6.679,1.09423202693194e-11,380.035506143689,0,-1.6052721980140447,456,0.13062716425157456,1211,0.4070657211907653,120,-0.24601667110175215,51240,1.4682916166584785,166,-0.15469563298502084
Lung,Upregulated,miR-448-3p,mmu-miR-448-3p,7.671,1.1648452808774e-10,368.83667132579046,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,0,-0.408248290463863,50,2.041241452319315,0,-0.408248290463863
Lung,Downregulated,miR-139-5p,mmu-miR-139-5p,-3.211,6.31221068146834e-16,9.273603466065627,81,-1.8611149048696334,23196,0.7784203640858667,8962,0.3337870100257495,18707,0.677856421104625,1918,-0.3868994810449559,11688,0.4579505906983481
Lung,Downregulated,miR-185-5p,mmu-miR-185-5p,-1.475,3.3457068603023e-05,3.5970288922265863,7938,-1.5836641639111577,42114,1.040794328668855,29854,0.4996579006863957,33505,0.6811193185118556,12943,-0.8147916303878809,24315,0.17688424643192077
Lung,Downregulated,miR-219a-5p,mmu-miR-219a-5p,-1.804,0.000370859621887824,2.7250554639206706,759,-1.2496981897358714,2063,0.3599410750871255,1658,0.008023407725135113,2406,0.6076266720071684,850,-1.0674909973137787,3795,1.3415980322302252
Lung,Downregulated,miR-1982-3p,mmu-miR-1982-3p,-1.683,0.0026014786042107,1.8719416086999285,26,-0.7155085984098177,50,0.5694292820326251,45,0.3609580939533837,76,1.4017842932054312,18,-1.4254652509999102,34,-0.1911978197817134
Lung,Downregulated,miR-378d,mmu-miR-378d,-3.409,0.000588979151643108,1.7327879659678185,199,-1.4921610528164522,22728,1.442110456369747,2812,0.14679356840272087,4555,0.4457293204463476,746,-0.6752236158364618,2749,0.13275132343410026
Lung,Downregulated,miR-378a-3p,mmu-miR-378a-3p,-3.321,0.000812110520664046,1.7101719254373604,25964,-1.1109217051221838,772928,1.510274933144862,224280,0.5545556853521629,166351,0.3237581521020228,30096,-0.9968521615077004,76051,-0.28081490396915204
Lung,Downregulated,miR-378b,mmu-miR-378b,-3.169,0.00135231370925803,1.6623234360899826,151,-1.2459054325044863,6592,1.5909928675142841,1158,0.28278034847320277,1227,0.3262978088938982,257,-0.8477648529196327,690,-0.10640073945726984
Lung,Downregulated,miR-139-3p,mmu-miR-139-3p,-3.672,0.000359780079939617,1.627571649622809,4,-1.3895829997284974,84,0.5397483467808025,27,-0.21643181197412462,79,0.4984648396682516,11,-0.7934156544739347,283,1.361217279727502
Lung,Downregulated,miR-378a-5p,mmu-miR-378a-5p,-3.211,0.00174821426280074,1.5984766892461422,1054,-1.2448372079086256,43673,1.4745814581178176,10991,0.4669381610673344,11272,0.4853753608742879,1836,-0.8397647636901221,3629,-0.3422930084606921
Lung,Downregulated,miR-12191-3p,mmu-miR-12191-3p,-4.73,2.94469629716724e-06,1.5852214736360015,11,-0.6192718469074694,28,0.08503039481663346,28,0.08503039481663346,47,0.4872356309002361,3,-1.4961582764538495,161,1.4581337028278178
Spleen,Upregulated,miR-142a-5p,mmu-miR-142a-5p,5.225,2.99571124672472e-38,953.7197497667854,3,-1.8966936354503472,15763,0.14215592230291335,13028,0.09523040480744469,23105,0.23631750114595215,32587,0.32099512129257957,776938,1.1019946859014602
